filename,filesize,modified,errors,sha1,namespace,id,format,version,mime,basis,warning
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9412.TIF,122943119,2018-04-20T15:25:28-04:00,,9b9a8b6cafcb7d8b9f9057fe774456f69226424e,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9420.TIF,118968379,2018-04-20T15:25:28-04:00,,d153f49459936ac6d231af20828aba69c6911f5c,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9438.TIF,139599009,2018-04-20T15:25:28-04:00,,a0129496ef2b3da1fb0d47d6a1b664178936a717,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9448.TIF,138750774,2018-04-20T15:25:28-04:00,,bbfc7b40178b5cc8594ba1e8bcb663b78a2799ef,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9471.TIF,124163238,2018-04-20T15:25:28-04:00,,7f263585b3ac119042494e7ec66c18e4213a69dd,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9492B.TIF,140222818,2018-04-20T15:25:28-04:00,,3ad5239b5314382edc5eb87af7d16c7ba7dfc9cb,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9505.TIF,128917451,2018-04-20T15:25:28-04:00,,6476364fb3b454975d9c838a6ee734861053591a,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9510.TIF,136716814,2018-04-20T15:25:28-04:00,,dc3c1f4c0640aab8038c1122e6894fb267409d05,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9564.TIF,119821256,2018-04-20T15:25:28-04:00,,5235c78ffea06269da9e863aaa0e6bdf10183b25,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9588.TIF,133569316,2018-04-20T15:25:28-04:00,,2e9b5296fb52d51d91df915695e62f20ab968ae5,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9602.TIF,104775147,2018-04-20T15:25:28-04:00,,c0fa9e7daa82836a482b65732a185f8fdbe16fc8,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9628.TIF,115707055,2018-04-20T15:25:28-04:00,,ae9a33ca2bac9c5363492f57171400a9200a469d,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9688.TIF,82494617,2018-04-20T15:25:28-04:00,,477f3ef3f92d2bfb48169889166274aca1e74187,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9716.TIF,119088624,2018-04-20T15:25:28-04:00,,13a31717df75c6c1e7facb5c6245af84099f5f1f,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9809.TIF,125997639,2018-04-20T15:25:28-04:00,,807b7770e6c802f35591a04b2b421597f7c025d7,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
